Date,Close,Adj Close,Symbol,type,Name,,,,,,
2007-12-19 00:00:00,101.2200012,56.61556244,EMB,bond,新興市場債,,,,,,
2007-12-20 00:00:00,101.2600021,56.6379509,EMB,bond,新興市場債,,,,,,
2007-12-21 00:00:00,101.1500015,56.57638931,EMB,bond,新興市場債,,,,,,
2007-12-24 00:00:00,101.3300018,56.67709732,EMB,bond,新興市場債,,,,,,
2007-12-26 00:00:00,101.4100037,56.72186661,EMB,bond,新興市場債,,,,,,
2007-12-27 00:00:00,101.1699982,56.67757797,EMB,bond,新興市場債,,,,,,
2007-12-28 00:00:00,101.2099991,56.69999313,EMB,bond,新興市場債,,,,,,
2007-12-31 00:00:00,101.3499985,56.77839279,EMB,bond,新興市場債,,,,,,
2008-01-02 00:00:00,101.4899979,56.85686493,EMB,bond,新興市場債,,,,,,
2008-01-03 00:00:00,101.6699982,56.95772552,EMB,bond,新興市場債,,,,,,
2008-01-04 00:00:00,101.7200012,56.98572159,EMB,bond,新興市場債,,,,,,
2008-01-07 00:00:00,101.9499969,57.11458588,EMB,bond,新興市場債,,,,,,
2008-01-08 00:00:00,102.1999969,57.2546196,EMB,bond,新興市場債,,,,,,
2008-01-09 00:00:00,102.1200027,57.20981216,EMB,bond,新興市場債,,,,,,
2008-01-10 00:00:00,102.2099991,57.2601738,EMB,bond,新興市場債,,,,,,
2008-01-11 00:00:00,101.8399963,57.05292892,EMB,bond,新興市場債,,,,,,
2008-01-14 00:00:00,102.1900024,57.24904251,EMB,bond,新興市場債,,,,,,
2008-01-15 00:00:00,102.3600006,57.34424591,EMB,bond,新興市場債,,,,,,
2008-01-16 00:00:00,102.5,57.42271042,EMB,bond,新興市場債,,,,,,
2008-01-17 00:00:00,102.4100037,57.37227249,EMB,bond,新興市場債,,,,,,
2008-01-18 00:00:00,102.4700012,57.40590286,EMB,bond,新興市場債,,,,,,
2008-01-22 00:00:00,101.9800034,57.13137436,EMB,bond,新興市場債,,,,,,
2008-01-23 00:00:00,102,57.14258957,EMB,bond,新興市場債,,,,,,
2008-01-24 00:00:00,102.0199966,57.15377808,EMB,bond,新興市場債,,,,,,
2008-01-25 00:00:00,102.1800003,57.24340057,EMB,bond,新興市場債,,,,,,
2008-01-28 00:00:00,102.1399994,57.22101212,EMB,bond,新興市場債,,,,,,
2008-01-29 00:00:00,101.9700012,57.12577057,EMB,bond,新興市場債,,,,,,
2008-01-30 00:00:00,102.2799988,57.29943848,EMB,bond,新興市場債,,,,,,
2008-01-31 00:00:00,102.3099976,57.31626511,EMB,bond,新興市場債,,,,,,
2008-02-01 00:00:00,101.8399963,57.31963348,EMB,bond,新興市場債,,,,,,
2008-02-04 00:00:00,101.8799973,57.34215164,EMB,bond,新興市場債,,,,,,
2008-02-05 00:00:00,101.6500015,57.212677,EMB,bond,新興市場債,,,,,,
2008-02-06 00:00:00,101.6900024,57.23519897,EMB,bond,新興市場債,,,,,,
2008-02-07 00:00:00,101.3300018,57.03259659,EMB,bond,新興市場債,,,,,,
